time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446000000	15.4778	3.73707	5.20035	0.62187	0.353276	lidar	0.639831	15.5236	3.82936	15.4306	3.66572	0.559205	0.224333
1477010446050000	15.6896	3.87182	5.1884	0.631472	0.343698	radar	0.987742	15.7234	3.4105	15.6356	3.80957	0.575757	0.234287
1477010446100000	15.9119	4.01345	5.19379	0.640126	0.33318	lidar	0.247604	15.9774	4.00094	15.8375	3.95718	0.592467	0.244468
1477010446150000	16.1071	4.17923	5.15517	0.669373	0.356868	radar	1.77343	16.3376	4.21632	16.0363	4.10854	0.609332	0.254875
1477010446200000	16.3048	4.37263	5.17862	0.700534	0.372675	lidar	0.363244	16.3313	4.44499	16.2319	4.26363	0.626349	0.265505
1477010446250000	16.5148	4.53662	5.19437	0.712866	0.363225	radar	0.660298	16.7586	4.48231	16.4242	4.42242	0.643514	0.276356
1477010446300000	16.6938	4.70404	5.17555	0.733194	0.366209	lidar	0.4684	16.6039	4.67344	16.613	4.5849	0.660825	0.287425
1477010446350000	16.8456	4.90238	5.09822	0.783779	0.423982	radar	4.57946	16.9236	5.10119	16.7983	4.75103	0.678278	0.298711
1477010446400000	17.0104	5.12528	5.12379	0.823805	0.446276	lidar	0.502404	16.9955	5.21099	16.9799	4.92077	0.69587	0.310209
1477010446450000	17.1795	5.29904	5.09432	0.844185	0.448631	radar	1.78047	17.3421	4.64623	17.1578	5.09409	0.713599	0.321916
1477010446500000	17.3402	5.47821	5.07616	0.863665	0.445495	lidar	0.234036	17.2894	5.43542	17.3319	5.27094	0.731461	0.333831
1477010446550000	17.4952	5.65207	5.03234	0.885406	0.451746	radar	3.32183	17.6463	4.74597	17.5019	5.45128	0.749454	0.345948
1477010446600000	17.691	5.77323	4.98661	0.871211	0.408785	lidar	2.03491	17.7853	5.62476	17.6679	5.63506	0.767575	0.358265
1477010446650000	17.8325	5.97439	4.95537	0.906969	0.437332	radar	1.13019	17.9216	6.07151	17.8297	5.82221	0.785823	0.370778
1477010446700000	18.0084	6.16056	4.96461	0.917733	0.423867	lidar	0.751771	18.1263	6.16985	17.9872	6.01269	0.804194	0.383482
1477010446750000	18.1567	6.3699	4.97591	0.942663	0.428334	radar	0.650738	18.1245	6.79027	18.1403	6.20641	0.822686	0.396375
1477010446800000	18.2789	6.60395	4.99476	0.980748	0.447811	lidar	0.459917	18.2164	6.66138	18.2888	6.40332	0.841297	0.409451
1477010446850000	18.4094	6.81989	4.99147	1.00967	0.458897	radar	0.237018	18.4022	7.02231	18.4328	6.60333	0.860025	0.422705
1477010446900000	18.5596	6.95591	4.91678	1.00297	0.425385	lidar	2.36773	18.5422	6.76013	18.572	6.80638	0.878867	0.436135
1477010446950000	18.7086	7.16215	4.9437	1.01172	0.402657	radar	0.628004	18.8089	7.24388	18.7064	7.01237	0.897823	0.449734
1477010447000000	18.9079	7.29815	4.90161	0.986836	0.350452	lidar	4.18681	19.1441	7.18344	18.8359	7.22122	0.91689	0.463498
1477010447050000	18.9942	7.50631	4.84096	1.03105	0.396813	radar	4.16608	18.5479	7.4012	18.9604	7.43283	0.936066	0.477422
1477010447100000	19.0856	7.76474	4.88173	1.07536	0.424973	lidar	1.03878	19.0138	7.8688	19.0798	7.64712	0.95535	0.491501
1477010447150000	19.206	7.97295	4.88121	1.09042	0.415354	radar	0.304161	19.3089	7.67375	19.1939	7.86397	0.974741	0.505729
1477010447200000	19.2859	8.18721	4.85966	1.12086	0.427024	lidar	1.42138	19.132	8.12845	19.3028	8.08329	0.994236	0.5201
1477010447250000	19.3847	8.39865	4.85924	1.13657	0.413665	radar	2.30528	19.0239	8.17194	19.4062	8.30497	1.01383	0.53461
1477010447300000	19.481	8.5473	4.7658	1.14003	0.395445	lidar	4.14951	19.347	8.30741	19.5042	8.5289	1.03354	0.549253
1477010447350000	19.5709	8.75829	4.74495	1.16442	0.406075	radar	0.6093	19.6843	8.35902	19.5967	8.75494	1.05334	0.564023
1477010447400000	19.7346	8.92948	4.71937	1.14703	0.363024	lidar	4.23859	20.0039	8.8906	19.6835	8.983	1.07324	0.578913
1477010447450000	19.8064	9.1534	4.70013	1.18281	0.39364	radar	1.03714	19.6061	9.48659	19.7645	9.21294	1.09324	0.593918
1477010447500000	19.938	9.3748	4.72468	1.18649	0.374784	lidar	2.90917	20.1574	9.45949	19.8398	9.44463	1.11335	0.609031
1477010447550000	19.9814	9.60018	4.68401	1.23487	0.426405	radar	2.76309	19.6163	9.76606	19.9093	9.67795	1.13354	0.624246
1477010447600000	20.0696	9.83645	4.70868	1.25424	0.423747	lidar	0.674125	20.1573	9.90876	19.9728	9.91275	1.15384	0.639557
1477010447650000	20.1298	10.0843	4.74534	1.2801	0.422449	radar	7.08528	19.1911	11.5493	20.0303	10.1489	1.17423	0.654957
1477010447700000	20.1779	10.3532	4.79398	1.31616	0.438592	lidar	0.819504	20.166	10.4687	20.0817	10.3863	1.19472	0.670439
1477010447750000	20.1927	10.591	4.76827	1.36623	0.485445	radar	2.93463	19.6774	10.803	20.1271	10.6247	1.21531	0.685997
1477010447800000	20.2515	10.8605	4.82032	1.39164	0.485555	lidar	1.95002	20.3711	11.0109	20.1663	10.864	1.23598	0.701624
1477010447850000	20.2807	11.1157	4.84697	1.42009	0.485378	radar	4.87435	19.4335	12.3402	20.1993	11.1041	1.25676	0.717312
1477010447900000	20.3149	11.3536	4.84462	1.44368	0.484677	lidar	0.00183468	20.3164	11.3483	20.2261	11.3449	1.27763	0.733056
1477010447950000	20.2589	11.6047	4.81207	1.52448	0.579724	radar	10.6177	19.2063	12.2418	20.2466	11.5861	1.29859	0.748846
1477010448000000	20.3311	11.8437	4.81834	1.52765	0.55075	lidar	4.79805	20.6141	11.9421	20.2608	11.8275	1.31965	0.764677
1477010448050000	20.3581	12.0771	4.8302	1.53014	0.499283	radar	3.74443	19.966	11.9688	20.2687	12.0692	1.3408	0.780541
1477010448100000	20.3452	12.361	4.88922	1.5671	0.510657	lidar	1.10755	20.3263	12.4966	20.2701	12.3108	1.36205	0.79643
1477010448150000	20.2943	12.6009	4.86285	1.62776	0.5739	radar	3.17294	20.0192	12.4822	20.2653	12.5522	1.38339	0.812338
1477010448200000	20.3196	12.84	4.85693	1.6394	0.555336	lidar	1.86812	20.498	12.8924	20.254	12.7933	1.40483	0.828256
1477010448250000	20.3069	13.0721	4.84038	1.66588	0.557738	radar	2.10458	20.9151	12.2555	20.2363	13.0339	1.42636	0.844176
1477010448300000	20.2714	13.2866	4.80482	1.69609	0.56146	lidar	1.04699	20.1943	13.1688	20.2122	13.2738	1.44799	0.860092
1477010448350000	20.2328	13.5215	4.80562	1.7219	0.552696	radar	1.30201	19.858	13.5236	20.1818	13.5129	1.46971	0.875995
1477010448400000	20.2128	13.7786	4.8306	1.74241	0.544086	lidar	1.30028	20.3245	13.8896	20.1449	13.7509	1.49153	0.891878
1477010448450000	20.1565	14.0068	4.81586	1.77952	0.563592	radar	0.845246	20.3387	13.5307	20.1017	13.9878	1.51344	0.907732
1477010448500000	20.1016	14.2605	4.84314	1.80835	0.563424	lidar	0.341776	20.1216	14.337	20.0521	14.2233	1.53545	0.92355
1477010448550000	20.0297	14.4896	4.8403	1.8397	0.564902	radar	1.38071	19.6717	14.4038	19.9962	14.4573	1.55756	0.939324
1477010448600000	19.9213	14.7425	4.88294	1.88297	0.579858	lidar	1.19855	19.781	14.773	19.9339	14.6897	1.57976	0.955045
1477010448650000	19.855	14.9612	4.86594	1.89897	0.552665	radar	3.40938	20.1149	14.0165	19.8655	14.9202	1.60206	0.970706
1477010448700000	19.8243	15.18	4.8308	1.90807	0.533806	lidar	2.17851	20.0208	15.2053	19.7908	15.1486	1.62446	0.986298
1477010448750000	19.6909	15.3906	4.81266	1.98655	0.63989	radar	7.82626	20.0157	15.3443	19.7099	15.3749	1.64696	1.00181
1477010448800000	19.6609	15.581	4.73975	1.99456	0.616259	lidar	3.68463	19.9131	15.554	19.6229	15.5989	1.66955	1.01724
1477010448850000	19.567	15.7871	4.72611	2.02052	0.606706	radar	1.3715	19.9388	15.0864	19.5298	15.8203	1.69225	1.03258
