time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449950000	nan	nan	nan	nan	nan	radar	nan	16.4366	18.2742	16.1237	19.7545	2.21675	1.32956
1477010450000000	nan	nan	nan	nan	nan	lidar	nan	15.9243	19.8703	15.9176	19.8789	2.24171	1.34046
1477010450050000	nan	nan	nan	nan	nan	radar	nan	16.2328	19.2166	15.7082	19.9978	2.26676	1.35106
1477010450100000	nan	nan	nan	nan	nan	lidar	nan	15.4332	20.1836	15.4956	20.111	2.2919	1.36137
1477010450150000	nan	nan	nan	nan	nan	radar	nan	14.3677	21.3406	15.2799	20.2185	2.31713	1.37137
1477010450200000	nan	nan	nan	nan	nan	lidar	nan	15.2016	20.4385	15.0613	20.3203	2.34244	1.38105
1477010450250000	nan	nan	nan	nan	nan	radar	nan	14.7476	19.9571	14.84	20.4162	2.36784	1.39041
1477010450300000	nan	nan	nan	nan	nan	lidar	nan	14.6665	20.6088	14.6161	20.5063	2.39332	1.39944
1477010450350000	nan	nan	nan	nan	nan	radar	nan	13.841	21.0031	14.3897	20.5904	2.41888	1.40814
1477010450400000	nan	nan	nan	nan	nan	lidar	nan	14.0521	20.5924	14.1611	20.6686	2.44451	1.41648
1477010450450000	nan	nan	nan	nan	nan	radar	nan	13.8232	20.859	13.9304	20.7408	2.47022	1.42448
1477010450500000	nan	nan	nan	nan	nan	lidar	nan	13.4687	20.7253	13.6977	20.807	2.496	1.43211
1477010450550000	nan	nan	nan	nan	nan	radar	nan	13.8263	20.4261	13.4632	20.8671	2.52185	1.43938
1477010450600000	nan	nan	nan	nan	nan	lidar	nan	13.1072	20.8294	13.2271	20.9211	2.54776	1.44627
1477010450650000	nan	nan	nan	nan	nan	radar	nan	13.2669	21.1579	12.9895	20.969	2.57374	1.45279
1477010450700000	nan	nan	nan	nan	nan	lidar	nan	12.8729	21.0592	12.7506	21.0108	2.59978	1.45891
1477010450750000	nan	nan	nan	nan	nan	radar	nan	11.5171	21.6724	12.5106	21.0465	2.62587	1.46464
1477010450800000	nan	nan	nan	nan	nan	lidar	nan	12.2062	21.11	12.2695	21.0761	2.65202	1.46997
1477010450850000	nan	nan	nan	nan	nan	radar	nan	12.3859	21.1066	12.0276	21.0996	2.67821	1.4749
1477010450900000	nan	nan	nan	nan	nan	lidar	nan	11.6814	20.8651	11.785	21.117	2.70444	1.47941
1477010450950000	nan	nan	nan	nan	nan	radar	nan	11.5265	20.6748	11.5418	21.1283	2.73072	1.48349
1477010451000000	nan	nan	nan	nan	nan	lidar	nan	11.363	21.0689	11.2982	21.1335	2.75703	1.48716
1477010451050000	nan	nan	nan	nan	nan	radar	nan	10.5558	20.5567	11.0544	21.1327	2.78337	1.49039
1477010451100000	nan	nan	nan	nan	nan	lidar	nan	10.8903	20.927	10.8105	21.1259	2.80974	1.49318
1477010451150000	nan	nan	nan	nan	nan	radar	nan	9.30535	21.3896	10.5666	21.1131	2.83613	1.49554
1477010451200000	nan	nan	nan	nan	nan	lidar	nan	10.189	21.209	10.3229	21.0943	2.86254	1.49744
1477010451250000	nan	nan	nan	nan	nan	radar	nan	9.97958	21.2932	10.0795	21.0697	2.88895	1.49889
1477010451300000	nan	nan	nan	nan	nan	lidar	nan	9.99634	20.9797	9.83658	21.0391	2.91538	1.49988
1477010451350000	nan	nan	nan	nan	nan	radar	nan	9.38223	21.111	9.59422	21.0028	2.9418	1.50041
1477010451400000	nan	nan	nan	nan	nan	lidar	nan	9.53921	20.8762	9.35258	20.9607	2.96822	1.50047
1477010451450000	nan	nan	nan	nan	nan	radar	nan	9.63392	20.9724	9.11177	20.9128	2.99462	1.50006
1477010451500000	nan	nan	nan	nan	nan	lidar	nan	8.70331	20.8221	8.87192	20.8594	3.02101	1.49917
1477010451550000	nan	nan	nan	nan	nan	radar	nan	9.84634	20.009	8.63315	20.8003	3.04738	1.4978
1477010451600000	nan	nan	nan	nan	nan	lidar	nan	8.22277	20.4839	8.39557	20.7357	3.07371	1.49594
1477010451650000	nan	nan	nan	nan	nan	radar	nan	8.29647	20.4978	8.1593	20.6657	3.10001	1.4936
1477010451700000	nan	nan	nan	nan	nan	lidar	nan	7.88599	20.45	7.92445	20.5903	3.12626	1.49077
1477010451750000	nan	nan	nan	nan	nan	radar	nan	8.29081	20.6565	7.69111	20.5096	3.15246	1.48744
1477010451800000	nan	nan	nan	nan	nan	lidar	nan	7.18029	20.392	7.45939	20.4236	3.17861	1.48361
1477010451850000	nan	nan	nan	nan	nan	radar	nan	7.09214	20.1196	7.22939	20.3326	3.20469	1.47928
1477010451900000	nan	nan	nan	nan	nan	lidar	nan	6.81542	20.1859	7.00119	20.2364	3.2307	1.47445
1477010451950000	nan	nan	nan	nan	nan	radar	nan	6.89359	20.1536	6.7749	20.1352	3.25663	1.46912
1477010452000000	nan	nan	nan	nan	nan	lidar	nan	6.38914	20.0136	6.55059	20.0292	3.28247	1.46328
1477010452050000	nan	nan	nan	nan	nan	radar	nan	6.67637	20.2142	6.32834	19.9183	3.30822	1.45692
1477010452100000	nan	nan	nan	nan	nan	lidar	nan	5.86119	19.8306	6.10823	19.8027	3.33386	1.45006
1477010452150000	nan	nan	nan	nan	nan	radar	nan	5.28178	19.5036	5.89034	19.6824	3.3594	1.44269
1477010452200000	nan	nan	nan	nan	nan	lidar	nan	5.69089	19.5755	5.67472	19.5577	3.38481	1.4348
1477010452250000	nan	nan	nan	nan	nan	radar	nan	5.9506	18.9859	5.46145	19.4284	3.4101	1.4264
1477010452300000	nan	nan	nan	nan	nan	lidar	nan	5.17021	19.4397	5.25059	19.2949	3.43526	1.41748
